Hokkaido Aomori
Aomori Akita
Aomori Iwate
Akita Iwate
Akita Yamagata
Akita Miyagi
Iwate Miyagi
Yamagata Miyagi
Miyagi Fukushima
Yamagata Fukushima
Niigata Yamagata
Niigata Fukushima
Niigata Gunma
Niigata Nagano
Niigata Toyama
Fukushima Gunma
Fukushima Tochigi
Fukushima Ibaraki
Tochigi Gunma
Tochigi Saitama
Tochigi Ibaraki
Ibaraki Saitama
Ibaraki Chiba
Chiba Saitama
Chiba Tokyo
Tokyo Saitama
Tokyo Yamanashi
Tokyo Kanagawa
Saitama Gunma
Saitama Yamanashi
Gunma Nagano
Kanagawa Yamanashi
Kanagawa Shizuoka
Nagano Toyama
Nagano Gifu
Nagano Aichi
Nagano Shizuoka
Nagano Yamanashi
Yamanashi Shizuoka
Shizuoka Aichi
Aichi Gifu
Aichi Mie
Gifu Toyama
Gifu Ishikawa
Gifu Fukui
Gifu Shiga
Gifu Mie
Toyama Ishikawa
Ishikawa Fukui
Fukui Shiga
Shiga Kyoto
Shiga Mie
Nara Mie
Nara Wakayama
Nara Osaka
Nara Kyoto
Mie Wakayama
Wakayama Osaka
Osaka Kyoto
Osaka Hyogo
Hyogo Kyoto
Kyoto Fukui
Hyogo Tottori
Hyogo Okayama
Okayama Tottori
Tottori Shimane
Okayama Hiroshima
Shimane Hiroshima
Yamaguchi Shimane
Yamaguchi Hiroshima
Kagawa Tokushima
Kagawa Ehime
Ehime Kochi
Tokushima Kochi
Tokushima Ehime
Nagasaki Saga
Saga Fukuoka
Fukuoka Oita
Fukuoka Kumamoto
Oita Kumamoto
Oita Miyazaki
Kumamoto Miyazaki
Kagoshima Kumamoto
Kagoshima Miyazaki
